ID,repository,directory,solution,language,name,description,runtime,testing,tests,is_aws,is_azure,is_gcp,provider_set
468010773/tests/integration/cloud_secrets_provider/Pulumi.yaml,468010773,468010773/tests/integration/cloud_secrets_provider,Pulumi,typescript,cloud-secrets-provider,A minimal TypeScript Pulumi program,nodejs,,,0,0,0,
468010773/tests/integration/single_resource/Pulumi.yaml,468010773,468010773/tests/integration/single_resource,Pulumi,typescript,protect_resources,A program that ensures we cannot delete protected resources.,nodejs,,,0,0,0,
468010773/tests/integration/project_main/Pulumi.yaml,468010773,468010773/tests/integration/project_main/a/path/to/main,Pulumi,typescript,project_main,A program with a different main specification.,nodejs,,,0,0,0,
468010773/tests/integration/config_basic/dotnet/Pulumi.yaml,468010773,468010773/tests/integration/config_basic/dotnet,Pulumi,csharp,config_basic_dotnet,A simple .NET program that uses configuration.,dotnet,,,0,0,0,
468010773/tests/integration/config_basic/python/Pulumi.yaml,468010773,468010773/tests/integration/config_basic/python,Pulumi,python,config_basic_py,A simple Python program that uses configuration.,python,,,0,0,0,
468010773/tests/integration/config_basic/go/Pulumi.yaml,468010773,468010773/tests/integration/config_basic/go,Pulumi,go,config_basic_go,A simple Go program that uses configuration.,go,,,0,0,0,
468010773/tests/integration/config_basic/nodejs/Pulumi.yaml,468010773,468010773/tests/integration/config_basic/nodejs,Pulumi,typescript,config_basic_js,A simple Node.js program that uses configuration.,nodejs,,,0,0,0,
468010773/tests/integration/nodejs/esm-js-main/Pulumi.yaml,468010773,468010773/tests/integration/nodejs/esm-js-main,Pulumi,typescript,esm-js-main,Use ECMAScript modules for a plain JS program.,nodejs,,,0,0,0,
468010773/tests/integration/nodejs/esm-ts-specifier-resolution-node/Pulumi.yaml,468010773,468010773/tests/integration/nodejs/esm-ts-specifier-resolution-node,Pulumi,typescript,esm-ts-specifier-resolution-node,Use ECMAScript modules for a TS program.,nodejs,,,0,0,0,
468010773/tests/integration/nodejs/esm-js/Pulumi.yaml,468010773,468010773/tests/integration/nodejs/esm-js,Pulumi,typescript,esm-js,Use ECMAScript modules for a plain JS program.,nodejs,,,0,0,0,
468010773/tests/integration/nodejs/compiler_options/Pulumi.yaml,468010773,468010773/tests/integration/nodejs/compiler_options,Pulumi,typescript,compiler_options,A TypeScript program that sets the `target` in `tsconfig.json` to `es2016`.,nodejs,,,0,0,0,
468010773/tests/integration/nodejs/esm-ts/Pulumi.yaml,468010773,468010773/tests/integration/nodejs/esm-ts,Pulumi,typescript,esm-ts,Use ECMAScript modules for a TS program.,nodejs,,,0,0,0,
468010773/tests/integration/nodejs/esm-ts-compiled/Pulumi.yaml,468010773,468010773/tests/integration/nodejs/esm-ts-compiled,Pulumi,javascript,esm-ts-compiled,Use ECMAScript modules for a TS program.,javascript,,,0,0,0,
468010773/tests/integration/nodejs/esm-ts-default-export/Pulumi.yaml,468010773,468010773/tests/integration/nodejs/esm-ts-default-export,Pulumi,typescript,esm-ts-default-export,Use ECMAScript modules for a TS program.,nodejs,,,0,0,0,
468010773/tests/integration/construct_component_output_values/python/Pulumi.yaml,468010773,468010773/tests/integration/construct_component_output_values/python,Pulumi,python,construct_component_output_values_py,A program that constructs remote component resources with output values.,python,,,0,0,0,
468010773/tests/integration/construct_component_output_values/go/Pulumi.yaml,468010773,468010773/tests/integration/construct_component_output_values/go,Pulumi,go,construct_component_output_values_go,A program that constructs remote component resources with output values.,go,,,0,0,0,
468010773/tests/integration/construct_component_output_values/nodejs/Pulumi.yaml,468010773,468010773/tests/integration/construct_component_output_values/nodejs,Pulumi,typescript,construct_component_output_values_nodejs,A program that constructs remote component resources with output values.,nodejs,,,0,0,0,
468010773/tests/integration/aliases/dotnet/rename/step1/Pulumi.yaml,468010773,468010773/tests/integration/aliases/dotnet/rename/step1,Pulumi,csharp,aliases_rename,A program that replaces a resource with a new name and alias.,dotnet,,,0,0,0,
468010773/tests/integration/aliases/dotnet/rename_component/step1/Pulumi.yaml,468010773,468010773/tests/integration/aliases/dotnet/rename_component/step1,Pulumi,csharp,aliases_rename_component,A program that replaces a resource with a new name and alias.,dotnet,,,0,0,0,
468010773/tests/integration/aliases/dotnet/rename_component_and_child/step1/Pulumi.yaml,468010773,468010773/tests/integration/aliases/dotnet/rename_component_and_child/step1,Pulumi,csharp,aliases_rename_component_and_child,A program that replaces a resource with a new name and alias.,dotnet,,,0,0,0,
468010773/tests/integration/aliases/dotnet/adopt_into_component/step1/Pulumi.yaml,468010773,468010773/tests/integration/aliases/dotnet/adopt_into_component/step1,Pulumi,csharp,aliases_adopt_into_component,A program that replaces a resource with a new name and alias.,dotnet,,,0,0,0,
468010773/tests/integration/aliases/dotnet/retype_component/step1/Pulumi.yaml,468010773,468010773/tests/integration/aliases/dotnet/retype_component/step1,Pulumi,csharp,aliases_retype_component,A program that replaces a resource with a new name and alias.,dotnet,,,0,0,0,
468010773/tests/integration/aliases/python/rename/step1/Pulumi.yaml,468010773,468010773/tests/integration/aliases/python/rename/step1,Pulumi,python,aliases_rename,A program that replaces a resource with a new name and alias.,python,,,0,0,0,
468010773/tests/integration/aliases/python/rename_component/step1/Pulumi.yaml,468010773,468010773/tests/integration/aliases/python/rename_component/step1,Pulumi,python,aliases_rename_component,A program that replaces a resource with a new name and alias.,python,,,0,0,0,
468010773/tests/integration/aliases/python/rename_component_and_child/step1/Pulumi.yaml,468010773,468010773/tests/integration/aliases/python/rename_component_and_child/step1,Pulumi,python,aliases_rename_component_and_child,A program that replaces a resource with a new name and alias.,python,,,0,0,0,
468010773/tests/integration/aliases/python/adopt_into_component/step1/Pulumi.yaml,468010773,468010773/tests/integration/aliases/python/adopt_into_component/step1,Pulumi,python,aliases_adopt_into_component,A program that replaces a resource with a new name and alias.,python,,,0,0,0,
